index,support,phone,email,page
0,Advanced Technology Services,800-328-7287,info@advancedtech.com,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=5
1,AFCI/GFCI,800-326-9513,trc@eaton.com,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=30
2,Medium Voltage Control,877-386-2273 opt 2 opt 7, ,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=142
3,ATS Team,877-386-2273 opt 2 opt 4 opt 3, ,#
4,Bussmann,855-287-7626,BussCustSat@eaton.com,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=178
5,Busway,800-835-5887, ,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=152
6,Canada,800-268-3578, ,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=37
7,CMSC Motor Control Centers,Chicago IL 630-260-6303<br>Fayetteville NC 910-677-5259<br>Houston TX 713-744-7530<br>Portland OR 562-944-6413, ,#
8,CMSC Panelboards & Switchboards,Atlanta GA 678-309-4260<br>Baltimore MD 410-796-7777<br>Chicago IL 630-260-6303<br>Cleveland OH 216-265-3284<br>Dallas TX 817-251-6797<br>Denver CO 303-366-2080<br>Hartford CT 860-298-1305<br>Houston TX 713-744-7530<br>Los Angeles CA 909-428-8900<br>New Jersey 609-835-4230<br>Nashville TN 615-287-3200<br>Phoenix AZ 480-449-4222<br>Raleigh NC 919-544-7074<br>San Francisco CA 510-784-8981<br>Seattle WA 253-833-5021<br>St. Louis MO 636-717-3500, ,#
9,Industrial Control-Cranes,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=43
10,Customer Integrity Team,877-386-2273 opt 2 opt 4 opt 1 opt 1, ,#
11,EVSE,855-386-3873, ,#
12,Fayetteville Custom Control,,ecmoem@eaton.com,#
13,Generators,800-975-8331,trc@eaton.com,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=108
14,Heinemann Breakers,514-332-1163,heinemann@heinemann-electric.com ,http://teams.etn.com/es/NorthAmericanSales-TRC/Lists/TRC%20Contact%20List/DispForm.aspx?ID=88
15,Low Voltage Switchgear,EatonCare Project Order Support, ,#
16,Low Voltage VFD,877-386-2273 opt 2 opt 6 opt 1, ,#
17,Marina Power & Light,800-723-8009, ,#
18,Medium Voltage Switchgear,800-345-4072, ,#
19,Network Protectors,800-525-6821, ,#
20,Power Breakers,800-222-9773, ,#
21,Power Quality,877-386-2273 opt 5, ,#
22,Solar,855-386-7657, ,#
23,Automation,877-386-2273 opt 2 opt 5,trcautomation@eaton.com,#
24,Industrial Control,877-386-2273 opt 2 opt 1,trc@eaton.com,#
